Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
2,depth,plumber,-0.034101219,26.37,2.57,1.44,0.55,31,275.998121,1.5,277.4918311,1.5,278.985343,1.5,280.729445,281.9813521,3,1.744102001,2,2
190,monarch,throne,0.619168711,5.53,9.78,0.81,1.03,32,284.9938221,1.5,286.487375,1.5,287.9812851,1.5,289.122256,290.9770911,3,1.140970945,1,2
42,stork,roof,0.101406354,0.73,46.42,0.24,1.68,33,293.9979351,1.5,295.491658,1.5,296.9851689,1.5,297.8030529,299.9809849,3,0.817883968,2,2
22,kiwi,locker,0.056608185,0.61,5.03,0.21,0.78,34,302.993701,1.5,304.487385,1.5,305.9811189,1.5,307.035816,308.976934,3,1.054697037,2,2
58,pot,hat,0.130744196,24.75,53.07,1.41,1.73,35,311.997756,1.5,313.4914751,1.5,314.9849901,1.5,317.9849901,317.9893341,3,NaN,NaN,2
14,cleaver,coffee,0.031048054,1.23,91.84,0.35,1.97,36,321.0018361,1.5,322.4955759,1.5,323.9890151,1.5,325.2293611,326.9848921,3,1.240345955,2,2
178,dummy,infant,0.497330387,0,20.78,0,1.34,37,329.9975951,1.5,331.491293,1.5,332.9849739,1.5,334.267143,335.980788,3,1.282169104,1,2
26,disc,sport,0.065324911,6.87,32.01,0.9,1.52,38,339.0016751,1.5,340.4953821,1.5,341.9888999,1.5,342.593941,344.9847021,3,0.605041027,1,2
118,goggles,towel,0.281727525,2.74,15.53,0.57,1.22,39,347.9973981,1.5,349.491116,1.5,350.9848521,1.5,351.5376821,353.9804499,3,0.552829981,1,2
142,hymn,organ,0.350724579,6.37,13.35,0.87,1.16,40,357.0014901,1.5,358.4952011,1.5,359.988735,1.5,361.4024711,362.9845321,3,1.413736105,1,2
158,thread,stitch,0.41282094,11.06,1.51,1.08,0.4,41,365.997174,1.5,367.4908881,1.5,368.984462,1.5,369.6452639,371.980242,3,0.660801888,1,2
94,bread,braid,0.213671363,74.13,1.96,1.88,0.47,42,375.0013039,1.5,376.4950211,1.5,377.9885559,1.5,379.0810311,380.9845431,3,1.092475176,2,2
